anime_id,anime_title_romaji,anime_title_english,anime_title_native,anime_title_userPreferred,isAdult,type,seasonInt,genres,popularity,meanScore,averageScore,episodes,favourites
102390,Goldfish Fetish,,GOLDFISH FETISH,Goldfish Fetish,False,ANIME,,[],196,27.0,32.0,1.0,0
102686,Tanaami Keiichi no Shouzou,A Portrait of Keiichi Tanaami,田名網敬一の肖像,Tanaami Keiichi no Shouzou,False,ANIME,,[],135,34.0,37.0,1.0,0
103330,Hokori Inu no Hanashi,The Cloudy Dog Talk About,ほこり犬のはなし,Hokori Inu no Hanashi,False,ANIME,,[],137,46.0,44.0,1.0,0
103430,Recorder,,RECORDER,Recorder,False,ANIME,,['Music'],265,44.0,43.0,1.0,0
103529,Car Radio,,カーラジオ,Car Radio,False,ANIME,,[],94,49.0,,1.0,0
103741,Boku wa Kimi no Namida,,僕は君の涙,Boku wa Kimi no Namida,False,ANIME,,[],118,57.0,49.0,1.0,1
103755,Katasumi no Uroko,Scutes on my mind,かたすみの鱗,Katasumi no Uroko,False,ANIME,,"['Adventure', 'Drama', 'Fantasy']",364,66.0,60.0,1.0,4
103759,9,,9,9,False,ANIME,,[],163,44.0,43.0,1.0,0
103768,Nerenai!!!,,寝れない!!!,Nerenai!!!,False,ANIME,,[],79,49.0,,1.0,0
103931,Fure! Fure! Daijoubu!,,フレ！フレ！大丈夫！,Fure! Fure! Daijoubu!,False,ANIME,,[],73,53.0,,1.0,0
103935,Humanoid Girl,,Humanoid Girl,Humanoid Girl,False,ANIME,,[],106,46.0,43.0,1.0,0
104179,GYRO,GYRO,GYRO,GYRO,False,ANIME,,['Slice of Life'],40,47.0,,1.0,0
104190,Calihara no Uta,,カリハラのうた,Calihara no Uta,False,ANIME,,['Music'],162,52.0,48.0,1.0,0
104415,Haru no Kaze,Fair Winds,はるのかぜ,Haru no Kaze,False,ANIME,,['Fantasy'],46,54.0,,1.0,0
104489,Kaijuu,,かいじゅう,Kaijuu,False,ANIME,,[],133,49.0,45.0,1.0,1
106562,The Closet,,The closet,The Closet,False,ANIME,,[],136,58.0,51.0,1.0,1
108819,Tsumamareru Koma,Bring me up,つままれるコマ,Tsumamareru Koma,False,ANIME,,[],78,56.0,,1.0,0
112005,Iro wo Kuu Akuma,,色を喰うアクマ,Iro wo Kuu Akuma,False,ANIME,,"['Fantasy', 'Music']",243,51.0,48.0,1.0,1
112029,Senshokutai no Koibito,CHROMOSOME SWEETHEART,染色体の恋人,Senshokutai no Koibito,False,ANIME,,[],89,47.0,,1.0,0
114466,DREAMLAND,,,DREAMLAND,False,ANIME,,['Psychological'],62,61.0,,1.0,1
115139,Lu Ling,,鹿铃,Lu Ling,False,ANIME,,[],138,55.0,49.0,1.0,1
116575,Helpless void,,Helpless void,Helpless void,False,ANIME,,['Psychological'],63,65.0,,1.0,0
116909,Namida no Chikara,,涙のチカラ,Namida no Chikara,False,ANIME,,[],70,54.0,,1.0,1
117222,Tsuki no Buranko,,月のブランコ,Tsuki no Buranko,False,ANIME,,[],52,42.0,,1.0,0
